PlateValue;TimeStamp;ImageList;Infraction;GPS
B118;[u'2016:12:15 21:52:20'];['G0598058.JPG'];['000'];[[44.447944199999995, 26.0748989]]
IF07ENX;[u'2016:12:15 21:51:27', u'2016:12:15 21:51:01', u'2016:12:15 21:51:01', u'2016:12:15 21:51:28', u'2016:12:15 21:51:12', u'2016:12:15 21:51:41', u'2016:12:15 21:50:36', u'2016:12:15 21:51:40', u'2016:12:15 21:51:06', u'2016:12:15 21:51:24', u'2016:12:15 21:51:45', u'2016:12:15 21:51:44', u'2016:12:15 21:51:30', u'2016:12:15 21:51:22', u'2016:12:15 21:50:50', u'2016:12:15 21:50:58', u'2016:12:15 21:51:15', u'2016:12:15 21:50:49', u'2016:12:15 21:51:23', u'2016:12:15 21:51:32', u'2016:12:15 21:51:25', u'2016:12:15 21:51:53', u'2016:12:15 21:51:46', u'2016:12:15 21:51:55', u'2016:12:15 21:51:26', u'2016:12:15 21:51:34', u'2016:12:15 21:50:48', u'2016:12:15 21:51:52', u'2016:12:15 21:51:36', u'2016:12:15 21:51:31', u'2016:12:15 21:50:47', u'2016:12:15 21:51:11', u'2016:12:15 21:50:55', u'2016:12:15 21:51:08', u'2016:12:15 21:51:19', u'2016:12:15 21:51:27', u'2016:12:15 21:51:47', u'2016:12:15 21:51:28', u'2016:12:15 21:51:20', u'2016:12:15 21:50:59', u'2016:12:15 21:51:18', u'2016:12:15 21:51:31', u'2016:12:15 21:51:09', u'2016:12:15 21:51:35', u'2016:12:15 21:51:36', u'2016:12:15 21:51:33', u'2016:12:15 21:51:21', u'2016:12:15 21:51:12', u'2016:12:15 21:51:45', u'2016:12:15 21:51:38', u'2016:12:15 21:50:45', u'2016:12:15 21:51:24', u'2016:12:15 21:50:56', u'2016:12:15 21:50:56', u'2016:12:15 21:51:16', u'2016:12:15 21:50:54', u'2016:12:15 21:51:11', u'2016:12:15 21:50:38', u'2016:12:15 21:50:52', u'2016:12:15 21:51:56', u'2016:12:15 21:50:53', u'2016:12:15 21:51:37', u'2016:12:15 21:51:15', u'2016:12:15 21:50:57', u'2016:12:15 21:50:59', u'2016:12:15 21:51:34', u'2016:12:15 21:52:07', u'2016:12:15 21:50:53', u'2016:12:15 21:50:11', u'2016:12:15 21:52:10', u'2016:12:15 21:52:10', u'2016:12:15 21:52:08', u'2016:12:15 21:51:44', u'2016:12:15 21:51:13', u'2016:12:15 21:51:08', u'2016:12:15 21:51:00', u'2016:12:15 21:51:40', u'2016:12:15 21:50:43', u'2016:12:15 21:51:22', u'2016:12:15 21:51:57', u'2016:12:15 21:50:41', u'2016:12:15 21:51:37', u'2016:12:15 21:51:07', u'2016:12:15 21:51:20', u'2016:12:15 21:51:14', u'2016:12:15 21:51:51', u'2016:12:15 21:50:44', u'2016:12:15 21:51:51', u'2016:12:15 21:51:10', u'2016:12:15 21:51:17', u'2016:12:15 21:50:37', u'2016:12:15 21:51:26', u'2016:12:15 21:51:09', u'2016:12:15 21:51:47', u'2016:12:15 21:51:05', u'2016:12:15 21:51:42', u'2016:12:15 21:50:38', u'2016:12:15 21:50:47', u'2016:12:15 21:50:42', u'2016:12:15 21:51:03', u'2016:12:15 21:51:25', u'2016:12:15 21:51:29', u'2016:12:15 21:51:35', u'2016:12:15 21:51:10', u'2016:12:15 21:52:06', u'2016:12:15 21:51:50', u'2016:12:15 21:51:04', u'2016:12:15 21:51:07', u'2016:12:15 21:52:09', u'2016:12:15 21:51:05', u'2016:12:15 21:51:29', u'2016:12:15 21:51:04', u'2016:12:15 21:51:38', u'2016:12:15 21:51:39', u'2016:12:15 21:51:23', u'2016:12:15 21:50:58', u'2016:12:15 21:51:03', u'2016:12:15 21:50:51', u'2016:12:15 21:51:19', u'2016:12:15 21:51:30', u'2016:12:15 21:51:02', u'2016:12:15 21:51:56', u'2016:12:15 21:51:13', u'2016:12:15 21:51:02', u'2016:12:15 21:51:52', u'2016:12:15 21:51:00', u'2016:12:15 21:52:05', u'2016:12:15 21:51:42', u'2016:12:15 21:51:54', u'2016:12:15 21:50:55', u'2016:12:15 21:51:41', u'2016:12:15 21:52:06', u'2016:12:15 21:51:55', u'2016:12:15 21:51:53', u'2016:12:15 21:51:18', u'2016:12:15 21:51:17', u'2016:12:15 21:52:07', u'2016:12:15 21:51:06'];['G0597951.JPG', 'G0597899.JPG', 'G0597900.JPG', 'G0597954.JPG', 'G0597921.JPG', 'G0597980.JPG', 'G0597850.JPG', 'G0597978.JPG', 'G0597910.JPG', 'G0597945.JPG', 'G0597987.JPG', 'G0597986.JPG', 'G0597958.JPG', 'G0597942.JPG', 'G0597878.JPG', 'G0597894.JPG', 'G0597927.JPG', 'G0597875.JPG', 'G0597943.JPG', 'G0597961.JPG', 'G0597947.JPG', 'G0598004.JPG', 'G0597989.JPG', 'G0598008.JPG', 'G0597950.JPG', 'G0597965.JPG', 'G0597874.JPG', 'G0598002.JPG', 'G0597969.JPG', 'G0597960.JPG', 'G0597871.JPG', 'G0597920.JPG', 'G0597888.JPG', 'G0597914.JPG', 'G0597935.JPG', 'G0597952.JPG', 'G0597991.JPG', 'G0597953.JPG', 'G0597938.JPG', 'G0597895.JPG', 'G0597933.JPG', 'G0597959.JPG', 'G0597915.JPG', 'G0597967.JPG', 'G0597970.JPG', 'G0597964.JPG', 'G0597939.JPG', 'G0597922.JPG', 'G0597988.JPG', 'G0597973.JPG', 'G0597868.JPG', 'G0597946.JPG', 'G0597889.JPG', 'G0597890.JPG', 'G0597929.JPG', 'G0597885.JPG', 'G0597919.JPG', 'G0597853.JPG', 'G0597882.JPG', 'G0598009.JPG', 'G0597883.JPG', 'G0597971.JPG', 'G0597928.JPG', 'G0597892.JPG', 'G0597896.JPG', 'G0597966.JPG', 'G0598032.JPG', 'G0597884.JPG', 'G0597800.JPG', 'G0598038.JPG', 'G0598037.JPG', 'G0598033.JPG', 'G0597985.JPG', 'G0597923.JPG', 'G0597913.JPG', 'G0597897.JPG', 'G0597977.JPG', 'G0597864.JPG', 'G0597941.JPG', 'G0598011.JPG', 'G0597860.JPG', 'G0597972.JPG', 'G0597911.JPG', 'G0597937.JPG', 'G0597926.JPG', 'G0597999.JPG', 'G0597865.JPG', 'G0598000.JPG', 'G0597918.JPG', 'G0597931.JPG', 'G0597852.JPG', 'G0597949.JPG', 'G0597916.JPG', 'G0597992.JPG', 'G0597907.JPG', 'G0597982.JPG', 'G0597854.JPG', 'G0597872.JPG', 'G0597862.JPG', 'G0597903.JPG', 'G0597948.JPG', 'G0597956.JPG', 'G0597968.JPG', 'G0597917.JPG', 'G0598029.JPG', 'G0597998.JPG', 'G0597906.JPG', 'G0597912.JPG', 'G0598036.JPG', 'G0597908.JPG', 'G0597955.JPG', 'G0597905.JPG', 'G0597974.JPG', 'G0597975.JPG', 'G0597944.JPG', 'G0597893.JPG', 'G0597904.JPG', 'G0597879.JPG', 'G0597936.JPG', 'G0597957.JPG', 'G0597901.JPG', 'G0598010.JPG', 'G0597924.JPG', 'G0597902.JPG', 'G0598001.JPG', 'G0597898.JPG', 'G0598028.JPG', 'G0597981.JPG', 'G0598006.JPG', 'G0597887.JPG', 'G0597979.JPG', 'G0598030.JPG', 'G0598007.JPG', 'G0598003.JPG', 'G0597934.JPG', 'G0597932.JPG', 'G0598031.JPG', 'G0597909.JPG'];['000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000'];[[44.447118399999994, 26.07572929997222], [44.447104499999995, 26.075731], [44.44710589997222, 26.075731999972223], [44.44711949997222, 26.0757283], [44.4471153, 26.07573179997222], [44.447120899999994, 26.075731], [44.446147999999994, 26.076073699972223], [44.44712049997222, 26.0757304], [44.44711159997222, 26.0757334], [44.447117199999994, 26.075730499972224], [44.447193599972216, 26.075815899972223], [44.447182299999994, 26.0758012], [44.447119799999996, 26.0757283], [44.447115999999994, 26.0757295], [44.446836999999995, 26.07551439997222], [44.44709379997222, 26.07572109997222], [44.44711519997222, 26.0757301], [44.446732299999994, 26.0754792], [44.44711639997222, 26.0757295], [44.447120399999996, 26.07572839997222], [44.44711749997222, 26.0757304], [44.44743299997222, 26.0760222], [44.44721859997222, 26.07584999997222], [44.447506699972216, 26.0760016], [44.447117899999995, 26.0757297], [44.447121199972216, 26.0757285], [44.44669329997222, 26.0754801], [44.447402099972216, 26.0760171], [44.447121599999996, 26.07572899997222], [44.44712019999999, 26.0757283], [44.446579099999994, 26.075513099972223], [44.4471153, 26.075731999972223], [44.44706049997222, 26.075690299999998], [44.44711319997222, 26.075732599972223], [44.447115499999995, 26.0757286], [44.447118999999994, 26.0757289], [44.44724229997222, 26.075882499972224], [44.44711929997222, 26.0757286], [44.44711589997222, 26.07572869997222], [44.447095999999995, 26.075723499972224], [44.44711499997222, 26.0757288], [44.44711989997222, 26.0757282], [44.44711379997222, 26.075732599972223], [44.44712139999999, 26.0757289], [44.44712139999999, 26.07572899997222], [44.447120999999996, 26.0757285], [44.447115499999995, 26.0757286], [44.4471153, 26.0757316], [44.447206899972215, 26.075834099999998], [44.447120899999994, 26.0757297], [44.446485499999994, 26.075583899999998], [44.447117399999996, 26.07573059997222], [44.44707139997222, 26.07570079997222], [44.44707789997222, 26.07570679997222], [44.447115099972216, 26.07572959997222], [44.447012199999996, 26.0756437], [44.44711499997222, 26.07573209997222], [44.446203499999996, 26.075989499972223], [44.44694599997222, 26.07558709997222], [44.447522299999996, 26.0759888], [44.446966399999994, 26.07560349997222], [44.44712109997222, 26.07572929997222], [44.44711519997222, 26.0757298], [44.447087799972216, 26.075715599972224], [44.44709819997222, 26.07572539997222], [44.447121199972216, 26.0757288], [44.447686999999995, 26.075709199972223], [44.446991099972216, 26.07562449997222], [44.444879199999995, 26.0779952], [44.4477361, 26.0755473], [44.447725999999996, 26.0755784], [44.44769409997222, 26.075686], [44.4471688, 26.0757845], [44.4471153, 26.0757313], [44.447112699972216, 26.0757328], [44.44710039997222, 26.0757273], [44.44712049997222, 26.0757303], [44.446387599999994, 26.0756999], [44.44711579997222, 26.07572929997222], [44.44754629997222, 26.07596369997222], [44.446300799999996, 26.075834099999998], [44.447120999999996, 26.0757295], [44.44711199997222, 26.075733199972223], [44.44711579997222, 26.0757286], [44.447115399999994, 26.0757304], [44.447354499999996, 26.07599319997222], [44.446411299999994, 26.07566789997222], [44.44736949999999, 26.07600259997222], [44.447114799999994, 26.075732299972223], [44.447114899999995, 26.0757292], [44.44618779997222, 26.07601449997222], [44.44711749997222, 26.07573], [44.447114199999994, 26.075732599972223], [44.447252899999995, 26.075896], [44.447109999999995, 26.075734099972223], [44.447131899999995, 26.0757419], [44.446217999999995, 26.07596739997222], [44.44661189999999, 26.0754996], [44.4463425, 26.0757677], [44.447108199999995, 26.0757337], [44.447117599972216, 26.0757303], [44.44712009997222, 26.0757279], [44.447121499999994, 26.0757289], [44.44711459997222, 26.0757325], [44.447664499999995, 26.0757787], [44.44733939997222, 26.0759824], [44.447109499999996, 26.075734], [44.447112399999995, 26.0757331], [44.447718299972216, 26.07560319997222], [44.44711079997222, 26.07573389997222], [44.447119799999996, 26.075727999999998], [44.447109299999994, 26.075734099972223], [44.44712079999999, 26.07572989997222], [44.44712069997222, 26.07572989997222], [44.447116799999996, 26.0757301], [44.447090499999995, 26.07571809997222], [44.44710899997222, 26.075734], [44.446867099972216, 26.0755327], [44.44711579997222, 26.0757285], [44.447119999972216, 26.075727999999998], [44.447106599972216, 26.07573299997222], [44.44753599997222, 26.0759751], [44.447115399999994, 26.075731099972224], [44.44710709997222, 26.0757334], [44.447384899999996, 26.0760107], [44.44710249997222, 26.0757292], [44.44765759997222, 26.0757976], [44.447124699999996, 26.07573449997222], [44.44747039999999, 26.0760182], [44.447047899999994, 26.0756778], [44.44712049997222, 26.0757303], [44.447671899999996, 26.075756899972223], [44.447489399999995, 26.07601179997222], [44.447418299999995, 26.076020799972223], [44.4471153, 26.07572869997222], [44.447114899999995, 26.0757289], [44.447679599999994, 26.0757331], [44.44711159997222, 26.075733499972223]]
CT09ZVN;[u'2016:12:15 21:50:28'];['G0597833.JPG'];['000'];[[44.445697799972216, 26.07673899997222]]
DJ56SVA;[u'2016:12:15 21:50:22'];['G0597821.JPG'];['000'];[[44.445367999999995, 26.077231999972224]]
B39EVM;[u'2016:12:15 21:49:41'];['G0597740.JPG'];['000'];[[44.44568829999999, 26.0775475]]
BC39RDC;[u'2016:12:15 21:52:26', u'2016:12:15 21:52:27', u'2016:12:15 21:52:25', u'2016:12:15 21:52:26'];['G0598070.JPG', 'G0598071.JPG', 'G0598068.JPG', 'G0598069.JPG'];['001', '001', '001', '001'];[[44.448057899999995, 26.07462119997222], [44.44806869999999, 26.074597699999998], [44.4480395, 26.07466159997222], [44.448049299999994, 26.074639699972224]]
B104KJM;[u'2016:12:15 21:50:12'];['G0597802.JPG'];['000'];[[44.444905599972216, 26.07793619997222]]
B86TTV;[u'2016:12:15 21:46:12'];['G0587656.JPG'];['000'];[[44.44596889997222, 26.0770623]]
B279TIR;[u'2016:12:15 21:50:22'];['G0597822.JPG'];['000'];[[44.445395299999994, 26.07719189997222]]
B54ZYH;[u'2016:12:15 21:49:58'];['G0597773.JPG'];['000'];[[44.44517619997222, 26.0782455]]
PH94DEM;[u'2016:12:15 21:52:29', u'2016:12:15 21:52:30', u'2016:12:15 21:52:29'];['G0598076.JPG', 'G0598077.JPG', 'G0598075.JPG'];['001', '001', '001'];[[44.448112899972216, 26.07449659997222], [44.44812209997222, 26.074475499972223], [44.448103999999994, 26.0745165]]
B92INY;[u'2016:12:15 21:50:02', u'2016:12:15 21:50:02'];['G0597782.JPG', 'G0597781.JPG'];['000', '000'];[[44.445038499999995, 26.07830339997222], [44.445056699999995, 26.07831219997222]]
B05JPJ;[u'2016:12:15 21:50:24'];['G0597826.JPG'];['000'];[[44.445504499972216, 26.077029199972223]]
B279TAR;[u'2016:12:15 21:50:23'];['G0597823.JPG'];['002'];[[44.445422199999996, 26.07715209997222]]
IL11DGS;[u'2016:12:15 21:49:48'];['G0597753.JPG'];['001'];[[44.44543649997222, 26.0778171]]
VN21S0M;[u'2016:12:15 21:50:26'];['G0597829.JPG'];['000'];[[44.44558399997222, 26.07690619997222]]
B072019;[u'2016:12:15 21:52:18', u'2016:12:15 21:52:19'];['G0598054.JPG', 'G0598055.JPG'];['000', '000'];[[44.44789759997222, 26.07503679997222], [44.447908999999996, 26.075001]]
B35HIR;[u'2016:12:15 21:46:12'];['G0587657.JPG'];['000'];[[44.445961499999996, 26.07706699997222]]
IF07DMD;[u'2016:12:15 21:52:18', u'2016:12:15 21:52:18'];['G0598053.JPG', 'G0598053.JPG'];['001', '001'];[[44.447888799999994, 26.075065899972223], [44.447888799999994, 26.075065899972223]]
B118AXS;[u'2016:12:15 21:52:21'];['G0598059.JPG'];['001'];[[44.447956999999995, 26.074862199972223]]
B113DDT;[u'2016:12:15 21:46:04'];['G0587640.JPG'];['000'];[[44.446018099999996, 26.0770808]]
B12KIZ;[u'2016:12:15 21:50:18'];['G0597814.JPG'];['000'];[[44.44517989997222, 26.07751389997222]]
B04KJM;[u'2016:12:15 21:50:12'];['G0597801.JPG'];['001'];[[44.444889599999996, 26.07796809997222]]
B96DTM;[u'2016:12:15 21:46:12'];['G0587656.JPG'];['002'];[[44.44596889997222, 26.0770623]]
BC39R0C;[u'2016:12:15 21:52:25'];['G0598067.JPG'];['000'];[[44.44803129997222, 26.07468019997222]]
B17XMY;[u'2016:12:15 21:52:25', u'2016:12:15 21:52:29', u'2016:12:15 21:52:26', u'2016:12:15 21:52:27', u'2016:12:15 21:52:25', u'2016:12:15 21:52:27', u'2016:12:15 21:52:26', u'2016:12:15 21:52:29'];['G0598067.JPG', 'G0598076.JPG', 'G0598070.JPG', 'G0598071.JPG', 'G0598068.JPG', 'G0598072.JPG', 'G0598069.JPG', 'G0598075.JPG'];['000', '000', '000', '000', '000', '000', '000', '000'];[[44.44803129997222, 26.07468019997222], [44.448112899972216, 26.07449659997222], [44.448057899999995, 26.07462119997222], [44.44806869999999, 26.074597699999998], [44.4480395, 26.07466159997222], [44.448076799999996, 26.0745788], [44.448049299999994, 26.074639699972224], [44.448103999999994, 26.0745165]]
B54ZWH;[u'2016:12:15 21:49:56', u'2016:12:15 21:49:57', u'2016:12:15 21:49:57'];['G0597769.JPG', 'G0597771.JPG', 'G0597772.JPG'];['001', '001', '001'];[[44.445232099972216, 26.07816869997222], [44.44520299997222, 26.07820979997222], [44.44518839997222, 26.0782297]]
B15DEN;[u'2016:12:15 21:51:44', u'2016:12:15 21:51:45', u'2016:12:15 21:51:44'];['G0597986.JPG', 'G0597988.JPG', 'G0597985.JPG'];['000', '000', '000'];[[44.447182299999994, 26.0758012], [44.447206899972215, 26.075834099999998], [44.4471688, 26.0757845]]
B889PRV;[u'2016:12:15 21:49:51'];['G0597760.JPG'];['001'];[[44.445336299999994, 26.0779767]]
B776EDI;[u'2016:12:15 21:50:20', u'2016:12:15 21:50:20'];['G0597817.JPG', 'G0597817.JPG'];['000', '000'];[[44.44525719999999, 26.07739619997222], [44.44525719999999, 26.07739619997222]]
B350LEA;[u'2016:12:15 21:52:22'];['G0598061.JPG'];['001'];[[44.44797779997222, 26.07480699997222]]
B78YS0;[u'2016:12:15 21:50:26'];['G0597829.JPG'];['000'];[[44.44558399997222, 26.07690619997222]]
B776EDA;[u'2016:12:15 21:50:20', u'2016:12:15 21:50:20'];['G0597818.JPG', 'G0597818.JPG'];['002', '002'];[[44.445286499999995, 26.0773519], [44.445286499999995, 26.0773519]]
B37WXV;[u'2016:12:15 21:52:15'];['G0598047.JPG'];['000'];[[44.4478346, 26.0752445]]
