PlateValue;TimeStamp;ImageList;Infraction;GPS
B100RGD;[u'2016:12:15 21:50:31', u'2016:12:15 21:51:01', u'2016:12:15 21:50:30', u'2016:12:15 21:51:24', u'2016:12:15 21:51:22', u'2016:12:15 21:50:58', u'2016:12:15 21:50:29', u'2016:12:15 21:50:32', u'2016:12:15 21:50:34', u'2016:12:15 21:50:29', u'2016:12:15 21:50:59', u'2016:12:15 21:51:21', u'2016:12:15 21:50:33', u'2016:12:15 21:50:33', u'2016:12:15 21:50:57', u'2016:12:15 21:50:57', u'2016:12:15 21:50:30', u'2016:12:15 21:50:32', u'2016:12:15 21:51:05', u'2016:12:15 21:51:03', u'2016:12:15 21:50:28', u'2016:12:15 21:51:04', u'2016:12:15 21:51:05', u'2016:12:15 21:51:04', u'2016:12:15 21:51:23', u'2016:12:15 21:50:58', u'2016:12:15 21:51:03', u'2016:12:15 21:51:02', u'2016:12:15 21:51:02', u'2016:12:15 21:51:00', u'2016:12:15 21:51:16', u'2016:12:15 21:50:31'];['G0597839.JPG', 'G0597899.JPG', 'G0597838.JPG', 'G0597945.JPG', 'G0597942.JPG', 'G0597894.JPG', 'G0597835.JPG', 'G0597842.JPG', 'G0597845.JPG', 'G0597836.JPG', 'G0597895.JPG', 'G0597939.JPG', 'G0597843.JPG', 'G0597844.JPG', 'G0597892.JPG', 'G0597891.JPG', 'G0597837.JPG', 'G0597841.JPG', 'G0597907.JPG', 'G0597903.JPG', 'G0597834.JPG', 'G0597906.JPG', 'G0597908.JPG', 'G0597905.JPG', 'G0597944.JPG', 'G0597893.JPG', 'G0597904.JPG', 'G0597901.JPG', 'G0597902.JPG', 'G0597898.JPG', 'G0597930.JPG', 'G0597840.JPG'];['000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000'];[[44.445875699999995, 26.0764761], [44.447104499999995, 26.075731], [44.44584629997222, 26.076518799972224], [44.447117199999994, 26.075730499972224], [44.447115999999994, 26.0757295], [44.44709379997222, 26.07572109997222], [44.44575909997222, 26.07664839997222], [44.445958099972216, 26.07635099997222], [44.446037699972216, 26.07623699997222], [44.445784799972216, 26.076609999972224], [44.447095999999995, 26.075723499972224], [44.447115499999995, 26.0757286], [44.445985699999994, 26.0763117], [44.44601229997222, 26.07627349997222], [44.447087799972216, 26.075715599972224], [44.44708359997222, 26.075711599999998], [44.44581689997222, 26.07656199997222], [44.445931699999996, 26.076392299972223], [44.447109999999995, 26.075734099972223], [44.447108199999995, 26.0757337], [44.44572689997222, 26.0766962], [44.447109499999996, 26.075734], [44.44711079997222, 26.07573389997222], [44.447109299999994, 26.075734099972223], [44.447116799999996, 26.0757301], [44.447090499999995, 26.07571809997222], [44.44710899997222, 26.075734], [44.447106599972216, 26.07573299997222], [44.44710709997222, 26.0757334], [44.44710249997222, 26.0757292], [44.44711499997222, 26.07572929997222], [44.445904799999994, 26.07643369997222]]
B59HCE;[u'2016:12:15 21:50:21'];['G0597819.JPG'];['001'];[[44.44531299997222, 26.07731199997222]]
BC08UEU;[u'2016:12:15 21:51:27', u'2016:12:15 21:51:28', u'2016:12:15 21:51:41', u'2016:12:15 21:51:40', u'2016:12:15 21:51:45', u'2016:12:15 21:51:30', u'2016:12:15 21:51:22', u'2016:12:15 21:51:15', u'2016:12:15 21:51:23', u'2016:12:15 21:51:32', u'2016:12:15 21:51:25', u'2016:12:15 21:51:46', u'2016:12:15 21:51:34', u'2016:12:15 21:51:36', u'2016:12:15 21:51:31', u'2016:12:15 21:51:19', u'2016:12:15 21:51:27', u'2016:12:15 21:51:28', u'2016:12:15 21:51:20', u'2016:12:15 21:51:31', u'2016:12:15 21:51:35', u'2016:12:15 21:51:36', u'2016:12:15 21:51:33', u'2016:12:15 21:51:21', u'2016:12:15 21:51:38', u'2016:12:15 21:51:21', u'2016:12:15 21:51:24', u'2016:12:15 21:51:16', u'2016:12:15 21:51:37', u'2016:12:15 21:51:15', u'2016:12:15 21:51:34', u'2016:12:15 21:51:33', u'2016:12:15 21:51:44', u'2016:12:15 21:51:40', u'2016:12:15 21:51:22', u'2016:12:15 21:51:37', u'2016:12:15 21:51:32', u'2016:12:15 21:51:17', u'2016:12:15 21:51:42', u'2016:12:15 21:51:39', u'2016:12:15 21:51:29', u'2016:12:15 21:51:35', u'2016:12:15 21:51:29', u'2016:12:15 21:51:38', u'2016:12:15 21:51:43', u'2016:12:15 21:51:39', u'2016:12:15 21:51:19', u'2016:12:15 21:51:30', u'2016:12:15 21:51:18'];['G0597951.JPG', 'G0597954.JPG', 'G0597980.JPG', 'G0597978.JPG', 'G0597987.JPG', 'G0597958.JPG', 'G0597942.JPG', 'G0597927.JPG', 'G0597943.JPG', 'G0597961.JPG', 'G0597947.JPG', 'G0597989.JPG', 'G0597965.JPG', 'G0597969.JPG', 'G0597960.JPG', 'G0597935.JPG', 'G0597952.JPG', 'G0597953.JPG', 'G0597938.JPG', 'G0597959.JPG', 'G0597967.JPG', 'G0597970.JPG', 'G0597964.JPG', 'G0597939.JPG', 'G0597973.JPG', 'G0597940.JPG', 'G0597946.JPG', 'G0597929.JPG', 'G0597971.JPG', 'G0597928.JPG', 'G0597966.JPG', 'G0597963.JPG', 'G0597985.JPG', 'G0597977.JPG', 'G0597941.JPG', 'G0597972.JPG', 'G0597962.JPG', 'G0597931.JPG', 'G0597982.JPG', 'G0597976.JPG', 'G0597956.JPG', 'G0597968.JPG', 'G0597955.JPG', 'G0597974.JPG', 'G0597984.JPG', 'G0597975.JPG', 'G0597936.JPG', 'G0597957.JPG', 'G0597934.JPG'];['000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000'];[[44.447118399999994, 26.07572929997222], [44.44711949997222, 26.0757283], [44.447120899999994, 26.075731], [44.44712049997222, 26.0757304], [44.447193599972216, 26.075815899972223], [44.447119799999996, 26.0757283], [44.447115999999994, 26.0757295], [44.44711519997222, 26.0757301], [44.44711639997222, 26.0757295], [44.447120399999996, 26.07572839997222], [44.44711749997222, 26.0757304], [44.44721859997222, 26.07584999997222], [44.447121199972216, 26.0757285], [44.447121599999996, 26.07572899997222], [44.44712019999999, 26.0757283], [44.447115499999995, 26.0757286], [44.447118999999994, 26.0757289], [44.44711929997222, 26.0757286], [44.44711589997222, 26.07572869997222], [44.44711989997222, 26.0757282], [44.44712139999999, 26.0757289], [44.44712139999999, 26.07572899997222], [44.447120999999996, 26.0757285], [44.447115499999995, 26.0757286], [44.447120899999994, 26.0757297], [44.447115399999994, 26.0757288], [44.447117399999996, 26.07573059997222], [44.447115099972216, 26.07572959997222], [44.44712109997222, 26.07572929997222], [44.44711519997222, 26.0757298], [44.447121199972216, 26.0757288], [44.44712069997222, 26.0757283], [44.4471688, 26.0757845], [44.44712049997222, 26.0757303], [44.44711579997222, 26.07572929997222], [44.447120999999996, 26.0757295], [44.447120599972216, 26.0757283], [44.447114899999995, 26.0757292], [44.447131899999995, 26.0757419], [44.44712049997222, 26.075730199972224], [44.44712009997222, 26.0757279], [44.447121499999994, 26.0757289], [44.447119799999996, 26.075727999999998], [44.44712079999999, 26.07572989997222], [44.447155299972216, 26.07576789997222], [44.44712069997222, 26.07572989997222], [44.44711579997222, 26.0757285], [44.447119999972216, 26.075727999999998], [44.4471153, 26.07572869997222]]
B09EUH;[u'2016:12:15 21:52:15', u'2016:12:15 21:52:16', u'2016:12:15 21:52:17', u'2016:12:15 21:52:16', u'2016:12:15 21:52:17'];['G0598048.JPG', 'G0598049.JPG', 'G0598052.JPG', 'G0598050.JPG', 'G0598051.JPG'];['000', '000', '000', '000', '000'];[[44.447843899999995, 26.0752135], [44.44785469999999, 26.075177499972224], [44.44788009997222, 26.07509269997222], [44.447863599972216, 26.075147399972224], [44.447871299999996, 26.0751223]]
B06344;[u'2016:12:15 21:51:58'];['G0598014.JPG'];['000'];[[44.44757069997222, 26.0759383]]
B95WJH;[u'2016:12:15 21:50:13'];['G0597803.JPG'];['001'];[[44.444919799999994, 26.0779086]]
B235;[u'2016:12:15 21:50:44'];['G0597865.JPG'];['000'];[[44.446411299999994, 26.07566789997222]]
B115DEN;[u'2016:12:15 21:51:45', u'2016:12:15 21:51:46', u'2016:12:15 21:51:43', u'2016:12:15 21:51:42', u'2016:12:15 21:51:43', u'2016:12:15 21:51:42'];['G0597987.JPG', 'G0597989.JPG', 'G0597983.JPG', 'G0597982.JPG', 'G0597984.JPG', 'G0597981.JPG'];['000', '000', '000', '000', '000', '000'];[[44.447193599972216, 26.075815899972223], [44.44721859997222, 26.07584999997222], [44.447141499999994, 26.07575179997222], [44.447131899999995, 26.0757419], [44.447155299972216, 26.07576789997222], [44.447124699999996, 26.07573449997222]]
CT37CXC;[u'2016:12:15 21:50:30'];['G0597837.JPG'];['002'];[[44.44581689997222, 26.07656199997222]]
B220ARH;[u'2016:12:15 21:52:06', u'2016:12:15 21:52:06', u'2016:12:15 21:52:07'];['G0598029.JPG', 'G0598030.JPG', 'G0598031.JPG'];['001', '001', '001'];[[44.447664499999995, 26.0757787], [44.447671899999996, 26.075756899972223], [44.447679599999994, 26.0757331]]
B38UUA;[u'2016:12:15 21:49:59', u'2016:12:15 21:50:00', u'2016:12:15 21:50:01'];['G0597776.JPG', 'G0597778.JPG', 'G0597780.JPG'];['001', '001', '001'];[[44.44512499997222, 26.0782883], [44.44509759997222, 26.078307299972224], [44.44506959997222, 26.0783124]]
B100RG0;[u'2016:12:15 21:51:21', u'2016:12:15 21:50:59', u'2016:12:15 21:51:20', u'2016:12:15 21:51:26'];['G0597940.JPG', 'G0597896.JPG', 'G0597937.JPG', 'G0597949.JPG'];['000', '000', '000', '000'];[[44.447115399999994, 26.0757288], [44.44709819997222, 26.07572539997222], [44.44711579997222, 26.0757286], [44.44711749997222, 26.07573]]
B96ALY;[u'2016:12:15 21:52:11'];['G0598039.JPG'];['000'];[[44.44774509997222, 26.075519199972224]]
B34HIR;[u'2016:12:15 21:46:17', u'2016:12:15 21:46:13', u'2016:12:15 21:46:13'];['G0587666.JPG', 'G0587658.JPG', 'G0587658.JPG'];['000', '000', '000'];[[44.445966599972216, 26.0770893], [44.445957199999995, 26.0770707], [44.445957199999995, 26.0770707]]
IF91HR0;[u'2016:12:15 21:50:24'];['G0597826.JPG'];['000'];[[44.445504499972216, 26.077029199972223]]
B37ZAJ;[u'2016:12:15 21:52:17'];['G0598051.JPG'];['001'];[[44.447871299999996, 26.0751223]]
B07209;[u'2016:12:15 21:52:21'];['G0598060.JPG'];['000'];[[44.44796809997222, 26.07483219997222]]
B39FAP;[u'2016:12:15 21:52:05', u'2016:12:15 21:51:59', u'2016:12:15 21:51:06'];['G0598027.JPG', 'G0598015.JPG', 'G0597909.JPG'];['000', '000', '000'];[[44.447651399972216, 26.0758137], [44.447576399999996, 26.07593179997222], [44.44711159997222, 26.075733499972223]]
B37NVX;[u'2016:12:15 21:52:15'];['G0598047.JPG'];['000'];[[44.4478346, 26.0752445]]
IF78VLF;[u'2016:12:15 21:51:59', u'2016:12:15 21:52:00', u'2016:12:15 21:52:00', u'2016:12:15 21:52:00', u'2016:12:15 21:51:59'];['G0598016.JPG', 'G0598017.JPG', 'G0598017.JPG', 'G0598018.JPG', 'G0598015.JPG'];['000', '000', '000', '000', '000'];[[44.44758219997222, 26.0759249], [44.447588499999995, 26.07591749997222], [44.447588499999995, 26.07591749997222], [44.447593899999994, 26.0759113], [44.447576399999996, 26.07593179997222]]
B11RKC;[u'2016:12:15 21:49:52'];['G0597761.JPG'];['001'];[[44.44532379997222, 26.0779992]]
VL07RND;[u'2016:12:15 21:49:34'];['G0597725.JPG'];['002'];[[44.44587009999999, 26.0773021]]
B97YBH;[u'2016:12:15 21:50:56', u'2016:12:15 21:50:52', u'2016:12:15 21:50:53', u'2016:12:15 21:50:52', u'2016:12:15 21:50:54'];['G0597889.JPG', 'G0597882.JPG', 'G0597883.JPG', 'G0597881.JPG', 'G0597886.JPG'];['000', '000', '000', '000', '000'];[[44.44707139997222, 26.07570079997222], [44.44694599997222, 26.07558709997222], [44.446966399999994, 26.07560349997222], [44.44691989997222, 26.075567799999998], [44.44703129997222, 26.075662]]
B06644;[u'2016:12:15 21:51:59'];['G0598015.JPG'];['000'];[[44.447576399999996, 26.07593179997222]]
B52WZX;[u'2016:12:15 21:50:42', u'2016:12:15 21:50:43'];['G0597861.JPG', 'G0597863.JPG'];['001', '001'];[[44.44632, 26.07580379997222], [44.4463644, 26.07573389997222]]
B27KDU;[u'2016:12:15 21:49:50', u'2016:12:15 21:49:49'];['G0597757.JPG', 'G0597756.JPG'];['001', '001'];[[44.445377799999996, 26.0779108], [44.445389399999996, 26.07789089997222]]
B82INY;[u'2016:12:15 21:50:01'];['G0597779.JPG'];['000'];[[44.445085499972215, 26.07831159997222]]
B38SLK;[u'2016:12:15 21:50:31'];['G0597839.JPG'];['000'];[[44.445875699999995, 26.0764761]]
DB058381;[u'2016:12:15 21:50:16'];['G0597810.JPG'];['002'];[[44.44508209999999, 26.0776578]]
PH52RRR;[u'2016:12:15 21:50:18'];['G0597813.JPG'];['001'];[[44.44515749999999, 26.07754729997222]]
B35HAR;[u'2016:12:15 21:46:13'];['G0587659.JPG'];['000'];[[44.445954699999994, 26.077072]]
MH09MXC;[u'2016:12:15 21:50:21'];['G0597819.JPG'];['001'];[[44.44531299997222, 26.07731199997222]]
IF91MR0;[u'2016:12:15 21:50:36', u'2016:12:15 21:50:24'];['G0597850.JPG', 'G0597825.JPG'];['000', '000'];[[44.446147999999994, 26.076073699972223], [44.44547539997222, 26.07707339997222]]
B13DDT;[u'2016:12:15 21:46:05', u'2016:12:15 21:46:07', u'2016:12:15 21:46:02', u'2016:12:15 21:46:05', u'2016:12:15 21:46:06', u'2016:12:15 21:46:07', u'2016:12:15 21:46:06', u'2016:12:15 21:46:08', u'2016:12:15 21:46:08', u'2016:12:15 21:46:04'];['G0587643.JPG', 'G0587646.JPG', 'G0587637.JPG', 'G0587642.JPG', 'G0587645.JPG', 'G0587647.JPG', 'G0587644.JPG', 'G0587648.JPG', 'G0587649.JPG', 'G0587641.JPG'];['002', '002', '002', '002', '002', '002', '002', '002', '002', '002'];[[44.446022899999996, 26.0770543], [44.44602509997222, 26.077033499972224], [44.446015799972216, 26.07709529997222], [44.446019799999995, 26.0770583], [44.446024599999994, 26.077041099972224], [44.44602379997222, 26.07703], [44.446024599999994, 26.077045299999998], [44.44602299997222, 26.077027399972224], [44.446016799999995, 26.077022199972223], [44.446017999999995, 26.077067199972223]]
B0720;[u'2016:12:15 21:52:22'];['G0598062.JPG'];['000'];[[44.447988599999995, 26.07477839997222]]
B17XHY;[u'2016:12:15 21:52:30'];['G0598077.JPG'];['000'];[[44.44812209997222, 26.074475499972223]]
TR80SCF;[u'2016:12:15 21:50:27'];['G0597831.JPG'];['002'];[[44.445640399999995, 26.076823699972223]]
GL20ALV;[u'2016:12:15 21:51:27', u'2016:12:15 21:51:28', u'2016:12:15 21:51:12', u'2016:12:15 21:51:41', u'2016:12:15 21:51:40', u'2016:12:15 21:51:06', u'2016:12:15 21:51:24', u'2016:12:15 21:51:30', u'2016:12:15 21:51:22', u'2016:12:15 21:51:15', u'2016:12:15 21:51:23', u'2016:12:15 21:51:32', u'2016:12:15 21:51:25', u'2016:12:15 21:51:26', u'2016:12:15 21:51:34', u'2016:12:15 21:51:36', u'2016:12:15 21:51:31', u'2016:12:15 21:51:11', u'2016:12:15 21:51:08', u'2016:12:15 21:51:19', u'2016:12:15 21:51:27', u'2016:12:15 21:51:28', u'2016:12:15 21:51:20', u'2016:12:15 21:51:18', u'2016:12:15 21:51:31', u'2016:12:15 21:51:09', u'2016:12:15 21:51:35', u'2016:12:15 21:51:36', u'2016:12:15 21:51:33', u'2016:12:15 21:51:21', u'2016:12:15 21:51:12', u'2016:12:15 21:51:38', u'2016:12:15 21:51:21', u'2016:12:15 21:51:24', u'2016:12:15 21:51:16', u'2016:12:15 21:51:11', u'2016:12:15 21:51:37', u'2016:12:15 21:51:15', u'2016:12:15 21:51:34', u'2016:12:15 21:51:33', u'2016:12:15 21:51:13', u'2016:12:15 21:51:08', u'2016:12:15 21:51:40', u'2016:12:15 21:51:22', u'2016:12:15 21:51:37', u'2016:12:15 21:51:07', u'2016:12:15 21:51:20', u'2016:12:15 21:51:14', u'2016:12:15 21:51:32', u'2016:12:15 21:51:10', u'2016:12:15 21:51:17', u'2016:12:15 21:51:26', u'2016:12:15 21:51:09', u'2016:12:15 21:51:42', u'2016:12:15 21:51:39', u'2016:12:15 21:51:25', u'2016:12:15 21:51:29', u'2016:12:15 21:51:35', u'2016:12:15 21:51:10', u'2016:12:15 21:51:07', u'2016:12:15 21:51:29', u'2016:12:15 21:51:38', u'2016:12:15 21:51:39', u'2016:12:15 21:51:23', u'2016:12:15 21:51:19', u'2016:12:15 21:51:30', u'2016:12:15 21:51:13', u'2016:12:15 21:51:16', u'2016:12:15 21:51:14', u'2016:12:15 21:51:41', u'2016:12:15 21:51:18', u'2016:12:15 21:51:17', u'2016:12:15 21:51:06'];['G0597951.JPG', 'G0597954.JPG', 'G0597921.JPG', 'G0597980.JPG', 'G0597978.JPG', 'G0597910.JPG', 'G0597945.JPG', 'G0597958.JPG', 'G0597942.JPG', 'G0597927.JPG', 'G0597943.JPG', 'G0597961.JPG', 'G0597947.JPG', 'G0597950.JPG', 'G0597965.JPG', 'G0597969.JPG', 'G0597960.JPG', 'G0597920.JPG', 'G0597914.JPG', 'G0597935.JPG', 'G0597952.JPG', 'G0597953.JPG', 'G0597938.JPG', 'G0597933.JPG', 'G0597959.JPG', 'G0597915.JPG', 'G0597967.JPG', 'G0597970.JPG', 'G0597964.JPG', 'G0597939.JPG', 'G0597922.JPG', 'G0597973.JPG', 'G0597940.JPG', 'G0597946.JPG', 'G0597929.JPG', 'G0597919.JPG', 'G0597971.JPG', 'G0597928.JPG', 'G0597966.JPG', 'G0597963.JPG', 'G0597923.JPG', 'G0597913.JPG', 'G0597977.JPG', 'G0597941.JPG', 'G0597972.JPG', 'G0597911.JPG', 'G0597937.JPG', 'G0597926.JPG', 'G0597962.JPG', 'G0597918.JPG', 'G0597931.JPG', 'G0597949.JPG', 'G0597916.JPG', 'G0597982.JPG', 'G0597976.JPG', 'G0597948.JPG', 'G0597956.JPG', 'G0597968.JPG', 'G0597917.JPG', 'G0597912.JPG', 'G0597955.JPG', 'G0597974.JPG', 'G0597975.JPG', 'G0597944.JPG', 'G0597936.JPG', 'G0597957.JPG', 'G0597924.JPG', 'G0597930.JPG', 'G0597925.JPG', 'G0597979.JPG', 'G0597934.JPG', 'G0597932.JPG', 'G0597909.JPG'];['000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000', '000'];[[44.447118399999994, 26.07572929997222], [44.44711949997222, 26.0757283], [44.4471153, 26.07573179997222], [44.447120899999994, 26.075731], [44.44712049997222, 26.0757304], [44.44711159997222, 26.0757334], [44.447117199999994, 26.075730499972224], [44.447119799999996, 26.0757283], [44.447115999999994, 26.0757295], [44.44711519997222, 26.0757301], [44.44711639997222, 26.0757295], [44.447120399999996, 26.07572839997222], [44.44711749997222, 26.0757304], [44.447117899999995, 26.0757297], [44.447121199972216, 26.0757285], [44.447121599999996, 26.07572899997222], [44.44712019999999, 26.0757283], [44.4471153, 26.075731999972223], [44.44711319997222, 26.075732599972223], [44.447115499999995, 26.0757286], [44.447118999999994, 26.0757289], [44.44711929997222, 26.0757286], [44.44711589997222, 26.07572869997222], [44.44711499997222, 26.0757288], [44.44711989997222, 26.0757282], [44.44711379997222, 26.075732599972223], [44.44712139999999, 26.0757289], [44.44712139999999, 26.07572899997222], [44.447120999999996, 26.0757285], [44.447115499999995, 26.0757286], [44.4471153, 26.0757316], [44.447120899999994, 26.0757297], [44.447115399999994, 26.0757288], [44.447117399999996, 26.07573059997222], [44.447115099972216, 26.07572959997222], [44.44711499997222, 26.07573209997222], [44.44712109997222, 26.07572929997222], [44.44711519997222, 26.0757298], [44.447121199972216, 26.0757288], [44.44712069997222, 26.0757283], [44.4471153, 26.0757313], [44.447112699972216, 26.0757328], [44.44712049997222, 26.0757303], [44.44711579997222, 26.07572929997222], [44.447120999999996, 26.0757295], [44.44711199997222, 26.075733199972223], [44.44711579997222, 26.0757286], [44.447115399999994, 26.0757304], [44.447120599972216, 26.0757283], [44.447114799999994, 26.075732299972223], [44.447114899999995, 26.0757292], [44.44711749997222, 26.07573], [44.447114199999994, 26.075732599972223], [44.447131899999995, 26.0757419], [44.44712049997222, 26.075730199972224], [44.447117599972216, 26.0757303], [44.44712009997222, 26.0757279], [44.447121499999994, 26.0757289], [44.44711459997222, 26.0757325], [44.447112399999995, 26.0757331], [44.447119799999996, 26.075727999999998], [44.44712079999999, 26.07572989997222], [44.44712069997222, 26.07572989997222], [44.447116799999996, 26.0757301], [44.44711579997222, 26.0757285], [44.447119999972216, 26.075727999999998], [44.447115399999994, 26.075731099972224], [44.44711499997222, 26.07572929997222], [44.4471153, 26.0757307], [44.44712049997222, 26.0757303], [44.4471153, 26.07572869997222], [44.447114899999995, 26.0757289], [44.44711159997222, 26.075733499972223]]
B997NTZ;[u'2016:12:15 21:50:38', u'2016:12:15 21:50:37'];['G0597853.JPG', 'G0597852.JPG'];['000', '000'];[[44.446203499999996, 26.075989499972223], [44.44618779997222, 26.07601449997222]]
B84JGX;[u'2016:12:15 21:52:13', u'2016:12:15 21:52:14', u'2016:12:15 21:52:14'];['G0598044.JPG', 'G0598045.JPG', 'G0598046.JPG'];['001', '001', '001'];[[44.447796999999994, 26.07535839997222], [44.447808599999995, 26.075322199972224], [44.447821899999994, 26.0752856]]
NT13SVB;[u'2016:12:15 21:50:46'];['G0597870.JPG'];['001'];[[44.446543199999994, 26.0755319]]
B7447;[u'2016:12:15 21:50:09'];['G0597795.JPG'];['000'];[[44.44489229997222, 26.0780971]]
B268AYS;[u'2016:12:15 21:52:19'];['G0598056.JPG'];['001'];[[44.44791899997222, 26.07497049997222]]
B993FIY;[u'2016:12:15 21:50:17'];['G0597812.JPG'];['000'];[[44.445130299999995, 26.07758779997222]]
B78DCU;[u'2016:12:15 21:50:23'];['G0597824.JPG'];['001'];[[44.445451899999995, 26.0771082]]
